"proteinType","proteinSearched","todaysDate"
"COL4A5","col4a5","Wed Sep 09 08:41:36 2020"
"COL4A6","col4a5","Wed Sep 09 08:41:36 2020"
"COL4A3","col4a5","Wed Sep 09 08:41:36 2020"
"COL4A4","col4a5","Wed Sep 09 08:41:36 2020"
"AMMECR1","col4a5","Wed Sep 09 08:41:36 2020"
"ACSL4","col4a5","Wed Sep 09 08:41:36 2020"
"COL4A1","col4a5","Wed Sep 09 08:41:36 2020"
"KCNE5","col4a5","Wed Sep 09 08:41:36 2020"
"AMMEC","col4a5","Wed Sep 09 08:41:36 2020"
"COL1A2","col4a5","Wed Sep 09 08:41:36 2020"
"COL1A1","col4a5","Wed Sep 09 08:41:36 2020"
"COL4A2","col4a5","Wed Sep 09 08:41:36 2020"
"FH","col4a5","Wed Sep 09 08:41:36 2020"
"MIRLET7C","col4a5","Wed Sep 09 08:41:36 2020"
"LAMA5","col4a5","Wed Sep 09 08:41:36 2020"
"EGF","col4a5","Wed Sep 09 08:41:36 2020"
"MYH9","col4a5","Wed Sep 09 08:41:36 2020"
"TGFB1","col4a5","Wed Sep 09 08:41:36 2020"
"LAMB1","col4a5","Wed Sep 09 08:41:36 2020"
"ATG4A","col4a5","Wed Sep 09 08:41:36 2020"
"TGFB3","col4a5","Wed Sep 09 08:41:36 2020"
"LAMA1","col4a5","Wed Sep 09 08:41:36 2020"
"ENSG00000260548","col4a5","Wed Sep 09 08:41:36 2020"
"LAMB2","col4a5","Wed Sep 09 08:41:36 2020"
"lnc-COL4A6-2","col4a5","Wed Sep 09 08:41:36 2020"
